[2025-08-20 15:45:04] ✅ Loaded 40 deals from CSV.
[2025-08-20 15:45:06] ✅ Selected deal: 12114
[2025-08-20 15:45:10] 📎 Added file from Deal 12114: TA_TA_Pokerstars.xlsx
[2025-08-20 15:45:13] 📄 Processing TA_TA_Pokerstars.xlsx in Checking Mode...
[2025-08-20 15:45:13] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 15:45:13] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 15:45:13] 📋 Raw headers: ['Transaction ID', 'TXN Type', 'Created', 'Started', 'TXN Curency', 'TXN Amount', 'Status', 'Pay Type', 'Country']
[2025-08-20 15:45:13] 🔍 Normalized headers: ['transactionid', 'txntype', 'created', 'started', 'txncurency', 'txnamount', 'status', 'paytype', 'country']
[2025-08-20 15:45:13] ⚠️ Row 57: Unparsable date/time → '12/Mar/2015 18:53:51'
[2025-08-20 15:45:13] ⚠️ Row 58: Unparsable date/time → '13/Mar/2015 04:42:48'
[2025-08-20 15:45:13] ⚠️ Row 59: Unparsable date/time → '13/Mar/2015 19:30:08'
[2025-08-20 15:45:13] ⚠️ Row 60: Unparsable date/time → '13/Mar/2015 20:12:13'
[2025-08-20 15:45:13] ⚠️ Row 61: Unparsable date/time → '14/Mar/2015 14:48:34'
[2025-08-20 15:45:13] ⚠️ Row 62: Unparsable date/time → '16/Mar/2015 18:48:20'
[2025-08-20 15:45:13] ⚠️ Row 63: Unparsable date/time → '17/Mar/2015 18:50:51'
[2025-08-20 15:45:13] ⚠️ Row 64: Unparsable date/time → '20/Mar/2015 18:53:52'
[2025-08-20 15:45:13] ⚠️ Row 65: Unparsable date/time → '20/Mar/2015 19:11:34'
[2025-08-20 15:45:13] ⚠️ Row 66: Unparsable date/time → '23/Mar/2015 18:54:44'
[2025-08-20 15:45:13] ⚠️ Row 67: Unparsable date/time → '26/Mar/2015 03:21:05'
[2025-08-20 15:45:13] ⚠️ Row 68: Unparsable date/time → '29/Mar/2015 09:19:41'
[2025-08-20 15:45:13] ⚠️ Row 69: Unparsable date/time → '30/Mar/2015 09:32:33'
[2025-08-20 15:45:13] ⚠️ Row 70: Unparsable date/time → '31/Mar/2015 14:19:50'
[2025-08-20 15:45:13] ⚠️ Row 71: Unparsable date/time → '01/Apr/2015 06:49:58'
[2025-08-20 15:45:13] ⚠️ Row 72: Unparsable date/time → '01/Apr/2015 09:26:49'
[2025-08-20 15:45:13] ⚠️ Row 73: Unparsable date/time → '01/Apr/2015 09:39:03'
[2025-08-20 15:45:13] ⚠️ Row 74: Unparsable date/time → '01/Apr/2015 10:02:51'
[2025-08-20 15:45:13] ⚠️ Row 75: Unparsable date/time → '01/Apr/2015 10:30:55'
[2025-08-20 15:45:13] ⚠️ Row 76: Unparsable date/time → '02/Apr/2015 05:36:36'
[2025-08-20 15:45:13] ⚠️ Row 77: Unparsable date/time → '03/Apr/2015 16:21:49'
[2025-08-20 15:45:13] ⚠️ Row 78: Unparsable date/time → '03/Apr/2015 18:32:00'
[2025-08-20 15:45:13] ⚠️ Row 79: Unparsable date/time → '07/Apr/2015 18:58:02'
[2025-08-20 15:45:13] ⚠️ Row 80: Unparsable date/time → '09/Apr/2015 06:21:16'
[2025-08-20 15:45:13] ⚠️ Row 81: Unparsable date/time → '12/Apr/2015 13:05:56'
[2025-08-20 15:45:13] ⚠️ Row 82: Unparsable date/time → '14/Apr/2015 03:53:33'
[2025-08-20 15:45:13] ⚠️ Row 83: Unparsable date/time → '14/Apr/2015 05:55:23'
[2025-08-20 15:45:13] ⚠️ Row 84: Unparsable date/time → '14/Apr/2015 18:26:17'
[2025-08-20 15:45:13] ⚠️ Row 85: Unparsable date/time → '14/Apr/2015 18:57:20'
[2025-08-20 15:45:13] ⚠️ Row 86: Unparsable date/time → '15/Apr/2015 17:55:02'
[2025-08-20 15:45:13] ⚠️ Row 87: Unparsable date/time → '17/Apr/2015 07:03:45'
[2025-08-20 15:45:13] ⚠️ Row 88: Unparsable date/time → '22/Apr/2015 05:47:53'
[2025-08-20 15:45:13] ⚠️ Row 89: Unparsable date/time → '23/Apr/2015 17:57:23'
[2025-08-20 15:45:13] ⚠️ Row 90: Unparsable date/time → '23/Apr/2015 18:38:34'
[2025-08-20 15:45:13] ⚠️ Row 91: Unparsable date/time → '24/Apr/2015 17:59:33'
[2025-08-20 15:45:13] ⚠️ Row 92: Unparsable date/time → '26/Apr/2015 16:13:19'
[2025-08-20 15:45:13] ⚠️ Row 93: Unparsable date/time → '30/Apr/2015 04:55:11'
[2025-08-20 15:45:13] ⚠️ Row 94: Unparsable date/time → '30/Apr/2015 18:27:52'
[2025-08-20 15:45:13] ⚠️ Row 95: Unparsable date/time → '01/May/2015 18:31:29'
[2025-08-20 15:45:13] ⚠️ Row 96: Unparsable date/time → '07/May/2015 18:36:53'
[2025-08-20 15:45:13] ⚠️ Row 97: Unparsable date/time → '09/May/2015 19:08:19'
[2025-08-20 15:45:13] ⚠️ Row 98: Unparsable date/time → '11/May/2015 08:08:58'
[2025-08-20 15:45:13] ⚠️ Row 99: Unparsable date/time → '13/May/2015 18:23:50'
[2025-08-20 15:45:13] ⚠️ Row 100: Unparsable date/time → '13/May/2015 18:37:25'
[2025-08-20 15:45:13] ⚠️ Row 101: Unparsable date/time → '21/May/2015 16:37:23'
[2025-08-20 15:45:13] ⚠️ Row 102: Unparsable date/time → '22/May/2015 13:20:45'
[2025-08-20 15:45:13] ⚠️ Row 103: Unparsable date/time → '29/May/2015 15:03:08'
[2025-08-20 15:45:13] ⚠️ Row 104: Unparsable date/time → '12/Jun/2015 13:53:59'
[2025-08-20 15:45:13] ⚠️ Row 105: Unparsable date/time → '29/Jun/2015 19:10:17'
[2025-08-20 15:45:13] ⚠️ Row 106: Unparsable date/time → '30/Jun/2015 04:53:36'
