[2025-08-21 13:00:00] ⚠️ Row 361: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 362: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.06 dt='2019-01-22 08:56:19'
[2025-08-21 13:00:00] ✅ Row 362: Deposit accepted — 11.06 at 2019-01-22 08:56:19 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 363: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=16.61 dt='2019-01-22 10:51:39'
[2025-08-21 13:00:00] ✅ Row 363: Deposit accepted — 16.61 at 2019-01-22 10:51:39 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 364: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.08 dt='2019-01-22 14:22:35'
[2025-08-21 13:00:00] ✅ Row 364: Deposit accepted — 11.08 at 2019-01-22 14:22:35 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 365: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.24 dt='2019-01-27 05:39:43'
[2025-08-21 13:00:00] ✅ Row 365: Deposit accepted — 22.24 at 2019-01-27 05:39:43 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 366: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=14.45 dt='2019-01-27 12:04:28'
[2025-08-21 13:00:00] ✅ Row 366: Deposit accepted — 14.45 at 2019-01-27 12:04:28 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 367: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=30.0 dt='2019-01-27 16:47:17'
[2025-08-21 13:00:00] ✅ Row 367: Redeem accepted — -30.0 at 2019-01-27 16:47:17 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 368: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=41.22 dt='2019-01-29 13:42:27'
[2025-08-21 13:00:00] ✅ Row 368: Deposit accepted — 41.22 at 2019-01-29 13:42:27 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 369: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.02 dt='2019-01-30 12:06:04'
[2025-08-21 13:00:00] ✅ Row 369: Deposit accepted — 12.02 at 2019-01-30 12:06:04 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 370: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.28 dt='2019-02-04 11:30:05'
[2025-08-21 13:00:00] ✅ Row 370: Deposit accepted — 22.28 at 2019-02-04 11:30:05 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 371: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=13.37 dt='2019-02-04 11:51:12'
[2025-08-21 13:00:00] ✅ Row 371: Deposit accepted — 13.37 at 2019-02-04 11:51:12 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 372: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.06 dt='2019-02-07 14:39:01'
[2025-08-21 13:00:00] ✅ Row 372: Deposit accepted — 11.06 at 2019-02-07 14:39:01 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 373: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=145.0 dt='2019-02-11 10:16:47'
[2025-08-21 13:00:00] ✅ Row 373: Redeem accepted — -145.0 at 2019-02-11 10:16:47 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 374: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=90.0 dt='2019-02-17 10:33:33'
[2025-08-21 13:00:00] ✅ Row 374: Deposit accepted — 90.0 at 2019-02-17 10:33:33 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 375: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=16.53 dt='2019-02-18 11:17:26'
[2025-08-21 13:00:00] ✅ Row 375: Deposit accepted — 16.53 at 2019-02-18 11:17:26 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 376: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.02 dt='2019-02-18 13:51:30'
[2025-08-21 13:00:00] ✅ Row 376: Deposit accepted — 11.02 at 2019-02-18 13:51:30 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 377: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=13.22 dt='2019-02-19 05:13:41'
[2025-08-21 13:00:00] ✅ Row 377: Deposit accepted — 13.22 at 2019-02-19 05:13:41 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 378: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.02 dt='2019-02-19 05:33:31'
[2025-08-21 13:00:00] ✅ Row 378: Deposit accepted — 11.02 at 2019-02-19 05:33:31 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 379: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=25.46 dt='2019-02-26 03:59:24'
[2025-08-21 13:00:00] ✅ Row 379: Deposit accepted — 25.46 at 2019-02-26 03:59:24 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 380: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.18 dt='2019-02-26 08:36:35'
[2025-08-21 13:00:00] ✅ Row 380: Deposit accepted — 12.18 at 2019-02-26 08:36:35 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 381: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.08 dt='2019-02-27 14:50:50'
[2025-08-21 13:00:00] ✅ Row 381: Deposit accepted — 11.08 at 2019-02-27 14:50:50 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 382: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=16.59 dt='2019-03-04 04:54:55'
[2025-08-21 13:00:00] ✅ Row 382: Deposit accepted — 16.59 at 2019-03-04 04:54:55 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 383: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.05 dt='2019-03-06 13:50:27'
[2025-08-21 13:00:00] ✅ Row 383: Deposit accepted — 22.05 at 2019-03-06 13:50:27 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 384: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.13 dt='2019-03-07 04:45:05'
[2025-08-21 13:00:00] ✅ Row 384: Deposit accepted — 12.13 at 2019-03-07 04:45:05 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 385: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.03 dt='2019-03-07 13:57:11'
[2025-08-21 13:00:00] ✅ Row 385: Deposit accepted — 12.03 at 2019-03-07 13:57:11 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 386: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.17 dt='2019-03-09 13:34:53'
[2025-08-21 13:00:00] ✅ Row 386: Deposit accepted — 11.17 at 2019-03-09 13:34:53 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 387: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=16.0 dt='2019-03-10 15:30:00'
[2025-08-21 13:00:00] ✅ Row 387: Deposit accepted — 16.0 at 2019-03-10 15:30:00 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 388: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=32.0 dt='2019-03-15 05:12:32'
[2025-08-21 13:00:00] ⚠️ Row 388: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 389: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=92.0 dt='2019-03-15 08:40:12'
[2025-08-21 13:00:00] ⚠️ Row 389: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:00] ℹ️ Row 390: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.07 dt='2019-03-15 13:37:26'
[2025-08-21 13:00:00] ✅ Row 390: Deposit accepted — 22.07 at 2019-03-15 13:37:26 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 391: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=15.46 dt='2019-03-16 06:25:01'
[2025-08-21 13:00:00] ✅ Row 391: Deposit accepted — 15.46 at 2019-03-16 06:25:01 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 392: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=49.0 dt='2019-03-17 14:27:37'
[2025-08-21 13:00:00] ✅ Row 392: Redeem accepted — -49.0 at 2019-03-17 14:27:37 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 393: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.38 dt='2019-03-18 17:15:01'
[2025-08-21 13:00:00] ✅ Row 393: Deposit accepted — 12.38 at 2019-03-18 17:15:01 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 394: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=15.49 dt='2019-03-19 13:11:17'
[2025-08-21 13:00:01] ✅ Row 394: Deposit accepted — 15.49 at 2019-03-19 13:11:17 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 395: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.07 dt='2019-03-19 14:00:15'
[2025-08-21 13:00:01] ✅ Row 395: Deposit accepted — 11.07 at 2019-03-19 14:00:15 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 396: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.07 dt='2019-03-19 14:23:35'
[2025-08-21 13:00:01] ✅ Row 396: Deposit accepted — 11.07 at 2019-03-19 14:23:35 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 397: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.11 dt='2019-03-22 14:11:00'
[2025-08-21 13:00:01] ✅ Row 397: Deposit accepted — 12.11 at 2019-03-22 14:11:00 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 398: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.01 dt='2019-03-22 15:49:11'
[2025-08-21 13:00:01] ✅ Row 398: Deposit accepted — 11.01 at 2019-03-22 15:49:11 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 399: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=107.0 dt='2019-03-23 11:54:49'
[2025-08-21 13:00:01] ✅ Row 399: Redeem accepted — -107.0 at 2019-03-23 11:54:49 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 400: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=16.53 dt='2019-03-24 07:38:53'
[2025-08-21 13:00:01] ✅ Row 400: Deposit accepted — 16.53 at 2019-03-24 07:38:53 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 401: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=18.67 dt='2019-03-27 04:44:14'
[2025-08-21 13:00:01] ✅ Row 401: Deposit accepted — 18.67 at 2019-03-27 04:44:14 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 402: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.93 dt='2019-03-28 10:10:25'
[2025-08-21 13:00:01] ✅ Row 402: Deposit accepted — 10.93 at 2019-03-28 10:10:25 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 403: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.94 dt='2019-03-28 10:30:04'
[2025-08-21 13:00:01] ✅ Row 403: Deposit accepted — 10.94 at 2019-03-28 10:30:04 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 404: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=27.37 dt='2019-03-30 08:31:57'
[2025-08-21 13:00:01] ✅ Row 404: Deposit accepted — 27.37 at 2019-03-30 08:31:57 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 405: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=320.0 dt='2019-03-30 16:57:55'
[2025-08-21 13:00:01] ⚠️ Row 405: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 406: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=379.0 dt='2019-03-30 19:22:19'
[2025-08-21 13:00:01] ⚠️ Row 406: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 407: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=345.21 dt='2019-03-31 07:51:15'
[2025-08-21 13:00:01] ⚠️ Row 407: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 408: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=329.0 dt='2019-03-31 10:31:39'
[2025-08-21 13:00:01] ⚠️ Row 408: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 409: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=321.42 dt='2019-03-31 11:58:46'
[2025-08-21 13:00:01] ⚠️ Row 409: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 410: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=310.0 dt='2019-03-31 12:09:51'
[2025-08-21 13:00:01] ✅ Row 410: Redeem accepted — -310.0 at 2019-03-31 12:09:51 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 411: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.06 dt='2019-04-01 13:20:04'
[2025-08-21 13:00:01] ✅ Row 411: Deposit accepted — 22.06 at 2019-04-01 13:20:04 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 412: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.93 dt='2019-04-04 13:09:14'
[2025-08-21 13:00:01] ✅ Row 412: Deposit accepted — 10.93 at 2019-04-04 13:09:14 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 413: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=29.56 dt='2019-04-05 08:45:20'
[2025-08-21 13:00:01] ✅ Row 413: Deposit accepted — 29.56 at 2019-04-05 08:45:20 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 414: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=81.63 dt='2019-04-06 11:02:16'
[2025-08-21 13:00:01] ⚠️ Row 414: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 415: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=19.0 dt='2019-04-06 14:09:07'
[2025-08-21 13:00:01] ⚠️ Row 415: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 416: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.93 dt='2019-04-07 15:21:09'
[2025-08-21 13:00:01] ✅ Row 416: Deposit accepted — 10.93 at 2019-04-07 15:21:09 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 417: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=55.08 dt='2019-04-13 08:44:48'
[2025-08-21 13:00:01] ✅ Row 417: Deposit accepted — 55.08 at 2019-04-13 08:44:48 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 418: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.03 dt='2019-04-13 11:15:53'
[2025-08-21 13:00:01] ✅ Row 418: Deposit accepted — 22.03 at 2019-04-13 11:15:53 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 419: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=11.01 dt='2019-04-14 16:22:52'
[2025-08-21 13:00:01] ⚠️ Row 419: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 420: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=422.07 dt='2019-04-14 19:36:55'
[2025-08-21 13:00:01] ✅ Row 420: Redeem accepted — -422.07 at 2019-04-14 19:36:55 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 421: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=12.88 dt='2019-04-15 08:17:07'
[2025-08-21 13:00:01] ✅ Row 421: Deposit accepted — 12.88 at 2019-04-15 08:17:07 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 422: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=21.92 dt='2019-04-21 10:49:25'
[2025-08-21 13:00:01] ✅ Row 422: Deposit accepted — 21.92 at 2019-04-21 10:49:25 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 423: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=32.89 dt='2019-04-21 12:24:13'
[2025-08-21 13:00:01] ✅ Row 423: Deposit accepted — 32.89 at 2019-04-21 12:24:13 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 424: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=25.0 dt='2019-04-21 12:31:50'
[2025-08-21 13:00:01] ⚠️ Row 424: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 425: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=21.93 dt='2019-04-21 14:11:38'
[2025-08-21 13:00:01] ✅ Row 425: Deposit accepted — 21.93 at 2019-04-21 14:11:38 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 426: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=13.16 dt='2019-04-22 08:39:33'
[2025-08-21 13:00:01] ✅ Row 426: Deposit accepted — 13.16 at 2019-04-22 08:39:33 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 427: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.87 dt='2019-04-29 09:46:11'
[2025-08-21 13:00:01] ✅ Row 427: Deposit accepted — 10.87 at 2019-04-29 09:46:11 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 428: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.13 dt='2019-05-02 11:42:27'
[2025-08-21 13:00:01] ✅ Row 428: Deposit accepted — 10.13 at 2019-05-02 11:42:27 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 429: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=19.67 dt='2019-05-05 14:18:38'
[2025-08-21 13:00:01] ✅ Row 429: Deposit accepted — 19.67 at 2019-05-05 14:18:38 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 430: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=26.23 dt='2019-05-05 14:21:06'
[2025-08-21 13:00:01] ✅ Row 430: Deposit accepted — 26.23 at 2019-05-05 14:21:06 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 431: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=86.0 dt='2019-05-05 14:35:00'
[2025-08-21 13:00:01] ⚠️ Row 431: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 432: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=64.0 dt='2019-05-05 14:57:06'
[2025-08-21 13:00:01] ⚠️ Row 432: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 433: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=115.0 dt='2019-05-05 15:23:45'
[2025-08-21 13:00:01] ⚠️ Row 433: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 434: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=101.23 dt='2019-05-05 15:29:50'
[2025-08-21 13:00:01] ⚠️ Row 434: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 435: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=91.23 dt='2019-05-05 15:39:52'
[2025-08-21 13:00:01] ✅ Row 435: Redeem accepted — -91.23 at 2019-05-05 15:39:52 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 436: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=33.76 dt='2019-05-09 09:52:39'
[2025-08-21 13:00:01] ✅ Row 436: Deposit accepted — 33.76 at 2019-05-09 09:52:39 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 437: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.05 dt='2019-05-10 17:04:34'
[2025-08-21 13:00:01] ✅ Row 437: Deposit accepted — 10.05 at 2019-05-10 17:04:34 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 438: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=240.0 dt='2019-05-10 19:41:07'
[2025-08-21 13:00:01] ⚠️ Row 438: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 439: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=170.0 dt='2019-05-11 08:06:03'
[2025-08-21 13:00:01] ⚠️ Row 439: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 440: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=120.0 dt='2019-05-12 12:38:56'
[2025-08-21 13:00:01] ✅ Row 440: Redeem accepted — -120.0 at 2019-05-12 12:38:56 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 441: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.01 dt='2019-05-13 09:05:20'
[2025-08-21 13:00:01] ✅ Row 441: Deposit accepted — 10.01 at 2019-05-13 09:05:20 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 442: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=290.0 dt='2019-05-14 10:12:36'
[2025-08-21 13:00:01] ⚠️ Row 442: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 443: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=270.0 dt='2019-05-14 11:58:57'
[2025-08-21 13:00:01] ⚠️ Row 443: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 444: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=260.0 dt='2019-05-14 14:27:10'
[2025-08-21 13:00:01] ⚠️ Row 444: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 445: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=255.67 dt='2019-05-14 14:52:10'
[2025-08-21 13:00:01] ✅ Row 445: Redeem accepted — -255.67 at 2019-05-14 14:52:10 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 446: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=35.96 dt='2019-05-15 12:12:45'
[2025-08-21 13:00:01] ✅ Row 446: Deposit accepted — 35.96 at 2019-05-15 12:12:45 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 447: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=21.74 dt='2019-05-16 10:51:01'
[2025-08-21 13:00:01] ⚠️ Row 447: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 448: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=33.7 dt='2019-05-16 11:03:08'
[2025-08-21 13:00:01] ✅ Row 448: Deposit accepted — 33.7 at 2019-05-16 11:03:08 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 449: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=200.0 dt='2019-05-17 07:02:10'
[2025-08-21 13:00:01] ⚠️ Row 449: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 450: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=160.0 dt='2019-05-18 12:36:29'
[2025-08-21 13:00:01] ⚠️ Row 450: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 451: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=150.0 dt='2019-05-18 13:08:16'
[2025-08-21 13:00:01] ⚠️ Row 451: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 452: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=165.0 dt='2019-05-18 18:52:01'
[2025-08-21 13:00:01] ✅ Row 452: Redeem accepted — -165.0 at 2019-05-18 18:52:01 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 453: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=32.62 dt='2019-05-23 14:29:43'
[2025-08-21 13:00:01] ✅ Row 453: Deposit accepted — 32.62 at 2019-05-23 14:29:43 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 454: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=32.62 dt='2019-05-23 14:50:17'
[2025-08-21 13:00:01] ✅ Row 454: Deposit accepted — 32.62 at 2019-05-23 14:50:17 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 455: type='deposit' dep=True wdr=False status_orig='Rejected' canon='rejected' amount=23.91 dt='2019-05-23 15:46:22'
[2025-08-21 13:00:01] ⚠️ Row 455: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 456: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=24.63 dt='2019-05-24 11:35:44'
[2025-08-21 13:00:01] ✅ Row 456: Deposit accepted — 24.63 at 2019-05-24 11:35:44 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 457: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=108.84 dt='2019-05-27 13:59:31'
[2025-08-21 13:00:01] ✅ Row 457: Deposit accepted — 108.84 at 2019-05-27 13:59:31 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 458: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=14.48 dt='2019-05-27 17:30:12'
[2025-08-21 13:00:01] ⚠️ Row 458: Skipped — status not approved: canon='rejected'
[2025-08-21 13:00:01] ℹ️ Row 459: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.42 dt='2019-05-28 16:00:14'
[2025-08-21 13:00:01] ✅ Row 459: Deposit accepted — 10.42 at 2019-05-28 16:00:14 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 460: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.12 dt='2019-06-06 09:08:26'
[2025-08-21 13:00:01] ✅ Row 460: Deposit accepted — 10.12 at 2019-06-06 09:08:26 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 461: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.04 dt='2019-06-08 09:07:05'
[2025-08-21 13:00:01] ✅ Row 461: Deposit accepted — 22.04 at 2019-06-08 09:07:05 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 462: type='redeem' dep=False wdr=True status_orig='Approved' canon='approved' amount=270.0 dt='2019-06-16 18:24:39'
[2025-08-21 13:00:01] ✅ Row 462: Redeem accepted — -270.0 at 2019-06-16 18:24:39 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 463: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.01 dt='2019-06-18 14:42:06'
[2025-08-21 13:00:01] ✅ Row 463: Deposit accepted — 10.01 at 2019-06-18 14:42:06 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 464: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.89 dt='2019-06-19 09:44:20'
[2025-08-21 13:00:01] ✅ Row 464: Deposit accepted — 10.89 at 2019-06-19 09:44:20 (status='Approved')
[2025-08-21 13:00:01] ℹ️ Row 465: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=10.05 dt='2019-06-26 08:30:20'
