[2025-09-02 15:20:44] ➕ Added 1 file(s).
[2025-09-02 15:20:47] 📄 Processing TA_Pokerstars (18).xlsx in calculation Mode...
[2025-09-02 15:20:50] ✔ Deposit sheets: ['Sheet2']
[2025-09-02 15:20:50] ✔ Cashout sheets: ['Sheet2']
[2025-09-02 15:20:50] ℹ️ Same sheet in both lists → will parse once as combined: ['Sheet2']
[2025-09-02 15:20:50] ✅ Detected header row at Excel row 1: ['Date', 'Type', 'TransId', 'Account Currency', 'Billing Currency', 'Billing Amount', 'GateWay', 'Descriptor', 'Original Trans']
[2025-09-02 15:20:50] 🧭 Columns: amount=5, currency=3, type=1, ref_date=0, conf_date=None, status=None
[2025-09-02 15:20:50] 🔎 Sample Type values (top 10 / first 200 rows): dep×181, red×19
[2025-09-02 15:20:51] r=28 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2014-12-16 — KEEP
[2025-09-02 15:20:51] r=29 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-16 — KEEP
[2025-09-02 15:20:51] r=30 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2014-12-17 — KEEP
[2025-09-02 15:20:51] r=31 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2014-12-17 — KEEP
[2025-09-02 15:20:51] r=32 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-17 — KEEP
[2025-09-02 15:20:51] r=33 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-17 — KEEP
[2025-09-02 15:20:51] r=34 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-17 — KEEP
[2025-09-02 15:20:51] r=35 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=20.0; currency=USD; date=2014-12-18 — KEEP
[2025-09-02 15:20:51] r=36 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-18 — KEEP
[2025-09-02 15:20:51] r=37 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-18 — KEEP
[2025-09-02 15:20:51] r=38 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=10.0; currency=USD; date=2014-12-18 — KEEP
[2025-09-02 15:20:51] r=39 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=25.0; currency=USD; date=2014-12-19 — KEEP
[2025-09-02 15:20:51] r=40 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=400.0; currency=USD; date=2014-12-19 — KEEP
[2025-09-02 15:20:51] r=41 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=491.3; currency=EUR; date=2014-12-19 — KEEP
[2025-09-02 15:20:51] r=42 → type_raw='Red' | label=Deposit (defaulted; no _tx_label match for 'red' → default to 'Deposit'); status_raw='' → norm='auto'; amount=140.0; currency=USD; date=2014-12-19 — KEEP
[2025-09-02 15:20:51] r=43 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=172.13; currency=EUR; date=2014-12-19 — KEEP
[2025-09-02 15:20:51] r=44 → type_raw='Dep' | label=Deposit (defaulted; no _tx_label match for 'dep' → default to 'Deposit'); status_raw='' → norm='auto'; amount=30.0; currency=USD; date=2014-12-19 — KEEP
