[2025-09-23 13:28:07] 🔗 Fetching ActiveCampaign deals in saved stage…
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (2.24.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (10.03.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (17.03.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (7.7.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:47] 🧹 Hidden checked note line: [] Checked (28.02.2025)
[2025-09-23 13:28:58] 📂 Scanning folder: C:/Sharepoint/Golden-Tech GmbH/LeadDocuments - Casino Germany - Documents\15619 - Minas Calisir, One Casino  (from block: [] - 15619 | Minas Calisir, One Casino | [] Opponent 'ProviderConfig[DB](name=One Casino Limited)' not supported for calculations)
