[2025-08-20 14:18:02] ⚠️ No files selected.
[2025-08-20 14:18:17] 📎 Added file from Deal 40153: TA_Pokerstars.xlsx
[2025-08-20 14:18:25] 📄 Processing TA_Pokerstars.xlsx...
[2025-08-20 14:18:25] 🧾 Detected TA file — using deposit/cashout logic.
[2025-08-20 14:18:25] Detected single combined transaction sheet. Attempting auto-detection...
[2025-08-20 14:18:25] ✅ Detected normal tabular structure. No CSV conversion needed.
[2025-08-20 14:18:25] 📋 Raw headers: ["Credit Status Report for 'muis21'  (Filtered)", 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']
[2025-08-20 14:18:25] 🔍 Normalized headers: ["creditstatusreportfor'muis21'(filtered)", 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none', 'none']
[2025-08-20 14:18:25] ⚠️ Header check failed: Missing date or amount — fallback mode. Using fallback mode (Column 0 = date, Column 1 = signed amount).
[2025-08-20 14:18:26] ⚠️ Row 63: Unparsable date → '4/10/2011 17:17'
[2025-08-20 14:18:26] ⚠️ Row 64: Unparsable date → '4/10/2011 17:52'
[2025-08-20 14:18:26] ⚠️ Row 65: Unparsable date → '4/10/2011 18:03'
[2025-08-20 14:18:26] ⚠️ Row 66: Unparsable date → '4/10/2011 18:55'
[2025-08-20 14:18:26] ⚠️ Row 67: Unparsable date → '4/17/2011 15:52'
[2025-08-20 14:18:26] ⚠️ Row 68: Unparsable date → '4/17/2011 16:43'
[2025-08-20 14:18:26] ⚠️ Row 69: Unparsable date → '4/17/2011 16:55'
[2025-08-20 14:18:26] ⚠️ Row 70: Unparsable date → '4/17/2011 17:51'
[2025-08-20 14:18:26] ⚠️ Row 71: Unparsable date → '4/17/2011 19:05'
[2025-08-20 14:18:26] ⚠️ Row 72: Unparsable date → '4/21/2011 17:08'
[2025-08-20 14:18:26] ⚠️ Row 73: Unparsable date → '4/22/2011 14:51'
[2025-08-20 14:18:26] ⚠️ Row 74: Unparsable date → '4/22/2011 16:30'
[2025-08-20 14:18:26] ⚠️ Row 75: Unparsable date → '4/22/2011 16:58'
[2025-08-20 14:18:26] ⚠️ Row 76: Unparsable date → '5/1/2011 14:07'
[2025-08-20 14:18:26] ⚠️ Row 77: Unparsable date → '5/1/2011 15:36'
[2025-08-20 14:18:26] ⚠️ Row 78: Unparsable date → '5/1/2011 15:41'
[2025-08-20 14:18:26] ⚠️ Row 79: Unparsable date → '5/6/2011 15:31'
[2025-08-20 14:18:26] ⚠️ Row 80: Unparsable date → '5/6/2011 15:56'
[2025-08-20 14:18:26] ⚠️ Row 81: Unparsable date → '5/6/2011 16:49'
[2025-08-20 14:18:26] ⚠️ Row 82: Unparsable date → '5/6/2011 17:54'
[2025-08-20 14:18:26] ⚠️ Row 83: Unparsable date → '5/6/2011 18:28'
[2025-08-20 14:18:26] ⚠️ Row 84: Unparsable date → '5/7/2011 6:15'
[2025-08-20 14:18:26] ⚠️ Row 85: Unparsable date → '5/7/2011 6:58'
[2025-08-20 14:18:26] ⚠️ Row 86: Unparsable date → '5/8/2011 9:49'
[2025-08-20 14:18:26] ⚠️ Row 87: Unparsable date → '5/8/2011 9:53'
[2025-08-20 14:18:26] ⚠️ Row 88: Unparsable date → '5/8/2011 14:40'
[2025-08-20 14:18:26] ⚠️ Row 89: Unparsable date → '5/9/2011 11:54'
[2025-08-20 14:18:26] ⚠️ Row 90: Unparsable date → '5/9/2011 12:07'
[2025-08-20 14:18:26] ⚠️ Row 91: Unparsable date → '5/9/2011 12:12'
[2025-08-20 14:18:26] ⚠️ Row 92: Unparsable date → '5/9/2011 17:38'
[2025-08-20 14:18:26] ⚠️ Row 93: Unparsable date → '5/15/2011 10:56'
[2025-08-20 14:18:26] ⚠️ Row 94: Unparsable date → '5/15/2011 11:06'
[2025-08-20 14:18:26] ⚠️ Row 95: Unparsable date → '5/15/2011 12:27'
[2025-08-20 14:18:26] ⚠️ Row 96: Unparsable date → '5/15/2011 14:18'
[2025-08-20 14:18:26] ⚠️ Row 97: Unparsable date → '5/16/2011 10:06'
[2025-08-20 14:18:26] ⚠️ Row 98: Unparsable date → '5/16/2011 13:11'
[2025-08-20 14:18:26] ⚠️ Row 99: Unparsable date → '5/19/2011 13:00'
[2025-08-20 14:18:26] ⚠️ Row 100: Unparsable date → '5/20/2011 12:22'
[2025-08-20 14:18:26] ⚠️ Row 101: Unparsable date → '5/21/2011 8:20'
[2025-08-20 14:18:26] ⚠️ Row 102: Unparsable date → '5/21/2011 12:29'
[2025-08-20 14:18:26] ⚠️ Row 103: Unparsable date → '5/25/2011 17:13'
[2025-08-20 14:18:26] ⚠️ Row 104: Unparsable date → '5/28/2011 13:29'
[2025-08-20 14:18:26] ⚠️ Row 105: Unparsable date → '6/1/2011 7:59'
[2025-08-20 14:18:26] ⚠️ Row 106: Unparsable date → '6/5/2011 14:09'
[2025-08-20 14:18:26] ⚠️ Row 107: Unparsable date → '6/6/2011 9:13'
[2025-08-20 14:18:26] ⚠️ Row 108: Unparsable date → '6/7/2011 12:32'
[2025-08-20 14:18:26] ⚠️ Row 109: Unparsable date → '6/12/2011 14:10'
[2025-08-20 14:18:26] ⚠️ Row 110: Unparsable date → '6/12/2011 14:47'
[2025-08-20 14:18:26] ⚠️ Row 111: Unparsable date → '6/12/2011 15:18'
[2025-08-20 14:18:26] ⚠️ Row 112: Unparsable date → '6/19/2011 10:32'
[2025-08-20 14:18:26] ⚠️ Row 113: Unparsable date → '6/19/2011 10:47'
[2025-08-20 14:18:26] ⚠️ Row 114: Unparsable date → '6/19/2011 15:57'
[2025-08-20 14:18:26] ⚠️ Row 115: Unparsable date → '6/19/2011 17:36'
[2025-08-20 14:18:26] ⚠️ Row 116: Unparsable date → '6/19/2011 18:13'
[2025-08-20 14:18:26] ⚠️ Row 117: Unparsable date → '6/26/2011 15:25'
[2025-08-20 14:18:26] ⚠️ Row 118: Unparsable date → '6/26/2011 15:34'
[2025-08-20 14:18:26] ⚠️ Row 119: Unparsable date → '6/26/2011 17:12'
[2025-08-20 14:18:26] ⚠️ Row 120: Unparsable date → '7/3/2011 15:02'
[2025-08-20 14:18:26] ⚠️ Row 121: Unparsable date → '7/3/2011 15:20'
[2025-08-20 14:18:26] ⚠️ Row 122: Unparsable date → '7/3/2011 15:57'
[2025-08-20 14:18:26] ⚠️ Row 123: Unparsable date → '7/3/2011 16:18'
[2025-08-20 14:18:26] ⚠️ Row 124: Unparsable date → '7/3/2011 16:58'
[2025-08-20 14:18:26] ⚠️ Row 125: Unparsable date → '7/13/2011 13:02'
[2025-08-20 14:18:26] ⚠️ Row 126: Unparsable date → '7/13/2011 14:27'
[2025-08-20 14:18:26] ⚠️ Row 127: Unparsable date → '7/17/2011 14:03'
[2025-08-20 14:18:26] ⚠️ Row 128: Unparsable date → '7/21/2011 15:36'
[2025-08-20 14:18:26] ⚠️ Row 129: Unparsable date → '7/22/2011 6:04'
[2025-08-20 14:18:26] ⚠️ Row 130: Unparsable date → '7/22/2011 6:24'
[2025-08-20 14:18:26] ⚠️ Row 131: Unparsable date → '7/24/2011 15:49'
[2025-08-20 14:18:26] ⚠️ Row 132: Unparsable date → '7/24/2011 16:33'
